Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Camp Murray,20171206,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,15.93628,36.06476,6.19272,0,10,1025.4,722
Camp Murray,20171206,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,16.70532,34.82101,5.17233,3,10,1024.4,722
Camp Murray,20171206,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,13.39111,39.3,3.09636,0,10,1023.7,722
Camp Murray,20171207,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,83.30078,8.3625,1.45144,0,0.3,1022,1
Camp Murray,20171207,1245,47.11,-122.57,84,2.01712E+11,12,12,Winter,82.89795,7.17163,2.46273,0,0.3,1022,2
Camp Murray,20171207,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,82.08618,7.72049,1.65364,0,0.3,1021.7,2
Camp Murray,20171207,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,72.70508,9.70192,1.7592,0,0.3,1021.3,2
Camp Murray,20171207,1430,47.11,-122.57,84,2.01712E+11,12,14,Winter,70.01953,10.35904,1.7592,0,0.1,1021.3,2
Camp Murray,20171207,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,67.30347,11.60027,1.72401,0,0.3,1021,2
Camp Murray,20171208,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,82.72705,6.49437,1.51291,0,0.1,1021.7,1
Camp Murray,20171208,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,76.77002,8.42796,1.68883,3,0.6,1021.3,2
Camp Murray,20171208,1315,47.11,-122.57,84,2.01712E+11,12,13,Winter,79.04053,7.13387,1.65364,3,1,1021,2
Camp Murray,20171208,1345,47.11,-122.57,84,2.01712E+11,12,13,Winter,74.95117,8.36754,1.68883,0,1.8,1021,2
Camp Murray,20171209,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,27.74658,24.48082,4.53873,0,6,1019.3,722
Camp Murray,20171209,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,22.82715,29.63959,4.78501,0,6,1019,722
Camp Murray,20171209,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,20.41016,30.38734,4.04615,0,10,1018.3,722
Camp Murray,20171209,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,25.1709,27.69592,1.93512,0,10,1018,722
Camp Murray,20171210,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,32.62329,23.24715,3.79986,0,6,1018.6,722
Camp Murray,20171210,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,24.4873,27.09419,4.92575,0,10,1018,722
Camp Murray,20171210,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,17.04102,32.89246,5.06677,0,10,1017.3,722
Camp Murray,20171210,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,15.20386,34.12865,2.95545,0,10,1016.6,722
Camp Murray,20171211,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,21.62476,29.62448,4.78528,0,10,1016.6,722
Camp Murray,20171211,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,14.16626,36.05721,6.15754,0,10,1016.6,722
Camp Murray,20171211,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,12.39014,34.78828,5.03159,6,10,1016.3,722
Camp Murray,20171211,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,13.10425,32.98309,3.06117,5,10,1017,722
Camp Murray,20171213,1100,47.11,-122.57,84,2.01712E+11,12,11,Winter,32.17163,21.98326,2.56843,0,10,1019.3,722
Camp Murray,20171213,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,20.41016,29.67735,4.96093,5,10,1018.6,722
Camp Murray,20171213,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,18.98193,31.70158,2.9908,5,10,1017,722
Camp Murray,20171214,1415,47.11,-122.57,84,2.01712E+11,12,14,Winter,70.97168,11.00105,1.82956,0,4,1014.6,3
Camp Murray,20171216,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,69.15283,12.3304,1.82956,3,10,1015.3,110
Camp Murray,20171216,1345,47.11,-122.57,84,2.01712E+11,12,13,Winter,69.50073,12.94724,1.89431,3,10,1015.6,24
Camp Murray,20171220,1100,47.11,-122.57,84,2.01712E+11,12,11,Winter,51.64185,20.60104,1.44254,8,10,1010.6,722
Camp Murray,20171220,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,24.01123,26.45973,4.60909,6,10,1011.9,722
Camp Murray,20171220,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,14.4043,27.76642,5.98127,15,10,1012.6,722
Camp Murray,20171220,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,10.57739,30.91103,4.89057,10,10,1013.6,722
Camp Murray,20171220,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,10.95581,29.11842,1.86475,11,10,1014.6,722
Camp Murray,20171221,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,36.56006,18.66745,3.62394,0,10,1019.3,722
Camp Murray,20171221,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,33.14209,17.41867,3.83505,3,10,1018.6,722
Camp Murray,20171221,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,31.15234,19.30695,5.77016,3,10,1017.6,722
Camp Murray,20171227,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,70.39795,7.80357,1.40736,0,6,1014.3,170
Camp Murray,20180102,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,66.97998,9.70192,1.61846,3,10,1016.3,722
Camp Murray,20180102,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,66.8335,9.01962,1.65364,3,10,1015.6,160
Camp Murray,20180103,1130,47.11,-122.57,84,2.01801E+11,1,11,Winter,62.97607,10.94315,1.44254,6,3,1010.9,5
Camp Murray,20180103,1145,47.11,-122.57,84,2.01801E+11,1,11,Winter,62.42676,11.64307,1.65364,5,3,1010.9,6
Camp Murray,20180103,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,39.50806,22.52205,4.60909,0,4,1010.3,20
Camp Murray,20180103,1230,47.11,-122.57,84,2.01801E+11,1,12,Winter,24.15161,28.96988,4.89084,5,3,1010.3,15
Camp Murray,20180103,1245,47.11,-122.57,84,2.01801E+11,1,12,Winter,25.64087,27.70348,4.88272,6,3,1010.3,722
Camp Murray,20180103,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,19.87915,30.96642,5.06677,6,3,1009.2,722
Camp Murray,20180103,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,17.81006,32.96547,4.18712,3,4,1008.2,722
Camp Murray,20180105,1330,47.11,-122.57,84,2.01801E+11,1,13,Winter,97.82104,11.63803,1.61837,0,10,1005.6,3
Camp Murray,20180105,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,95.61768,12.88177,2.63879,0,10,1005.2,130
Camp Murray,20180106,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,64.04419,17.47154,2.39237,10,10,1013.6,70
Camp Murray,20180106,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,48.52905,18.73291,4.78501,13,10,1014.6,60
Camp Murray,20180106,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,31.99463,24.57146,4.01097,10,10,1014.3,50
Camp Murray,20180107,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,80.29785,11.57761,1.61846,3,10,1008.6,60
Camp Murray,20180108,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,82.21436,11.59775,1.61266,0,1,998.8,2
Camp Murray,20180108,1215,47.11,-122.57,84,2.01801E+11,1,12,Winter,80.05371,11.63048,1.72401,0,0,998.5,2
Camp Murray,20180108,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,77.68555,12.22214,1.72401,0,4,997.8,2
Camp Murray,20180108,1315,47.11,-122.57,84,2.01801E+11,1,13,Winter,77.78931,12.23221,0.48681,0,10,997.2,3
Camp Murray,20180108,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,68.46313,15.44228,0.32484,0,10,995.5,70
Camp Murray,20180109,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,85.84595,12.32285,1.40728,9,10,992.8,722
Camp Murray,20180109,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,40.22827,25.23865,5.80535,9,10,993.1,722
Camp Murray,20180109,1230,47.11,-122.57,84,2.01801E+11,1,12,Winter,48.49243,19.41269,2.81471,10,10,993.1,16
Camp Murray,20180109,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,63.0249,14.8909,2.70916,9,10,993.5,14
Camp Murray,20180109,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,62.21924,14.20609,3.90542,9,10,993.8,25
Camp Murray,20180110,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,86.96899,9.12033,1.61846,9,10,1005.6,36
Camp Murray,20180110,1415,47.11,-122.57,84,2.01801E+11,1,14,Winter,87.03613,9.75983,1.68883,6,10,1005.6,29
Camp Murray,20180113,1145,47.11,-122.57,84,2.01801E+11,1,11,Winter,36.65161,29.07059,4.08157,0,10,1019,70
Camp Murray,20180113,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,32.91626,30.9639,3.06117,0,10,1019,70
Camp Murray,20180113,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,20.57495,39.43344,7.20086,5,10,1018,50
Camp Murray,20180113,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,22.19849,36.84021,3.27229,7,10,1017.3,200
Camp Murray,20180113,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,22.80884,36.83517,5.13714,8,10,1016.6,200
Camp Murray,20180114,1315,47.11,-122.57,84,2.01801E+11,1,13,Winter,66.45508,15.5027,1.93512,0,10,1009.6,7
Camp Murray,20180114,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,32.1228,27.75887,4.08157,6,7,1009.2,8
Camp Murray,20180114,1445,47.11,-122.57,84,2.01801E+11,1,14,Winter,30.18188,29.66728,8.30388,0,10,1008.9,170
Camp Murray,20180114,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,26.78223,31.59836,7.14274,0,10,1008.6,20
Camp Murray,20180114,1515,47.11,-122.57,84,2.01801E+11,1,15,Winter,17.66968,38.66302,6.29828,0,10,1008.6,722
Camp Murray,20180115,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,71.11816,12.91451,1.61846,3,10,1005.9,722
Camp Murray,20180115,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,33.28247,28.36311,4.85538,0,10,1004.5,722
Camp Murray,20180115,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,21.49658,35.46051,7.17793,3,10,1002.5,722
Camp Murray,20180115,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,37.66479,26.40434,6.26203,5,10,1000.9,722
Camp Murray,20180115,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,18.90259,37.38907,5.31247,8,10,1000.9,722
Camp Murray,20180116,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,41.12549,23.22701,2.67398,8,10,1011.3,722
Camp Murray,20180116,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,30.57251,28.32031,6.15719,15,10,1012.3,722
Camp Murray,20180116,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,27.50854,27.81929,8.29872,18,10,1011.9,722
Camp Murray,20180116,1430,47.11,-122.57,84,2.01801E+11,1,14,Winter,21.71021,30.97145,6.43902,14,10,1012.3,722
Camp Murray,20180116,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,24.57275,29.11339,7.17793,14,10,1012.3,722
Camp Murray,20180118,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,89.31274,12.30019,1.61846,7,10,999.2,722
Camp Murray,20180118,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,66.79077,11.71356,1.7592,8,10,997.5,60
Camp Murray,20180119,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,65.60669,11.58012,2.46287,13,10,1001.5,70
Camp Murray,20180119,1215,47.11,-122.57,84,2.01801E+11,1,12,Winter,70.23926,11.01112,2.56843,13,10,1001.9,39
Camp Murray,20180119,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,58.88672,12.89688,2.78998,16,10,1001.5,47
Camp Murray,20180120,1230,47.11,-122.57,84,2.01801E+11,1,12,Winter,92.3584,8.47076,2.56843,6,10,1006.9,35
Camp Murray,20180120,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,86.70044,11.06651,3.83505,11,10,1006.6,35
Camp Murray,20180120,1345,47.11,-122.57,84,2.01801E+11,1,13,Winter,81.71387,12.24228,4.60909,11,10,1006.2,43
Camp Murray,20180120,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,77.80151,12.30019,4.71465,9,10,1006.2,45
Camp Murray,20180120,1445,47.11,-122.57,84,2.01801E+11,1,14,Winter,72.83936,11.67328,2.74435,9,10,1006.2,23
Camp Murray,20180120,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,68.81714,12.29012,1.89993,13,10,1005.9,60
Camp Murray,20180121,1330,47.11,-122.57,84,2.01801E+11,1,13,Winter,87.98828,8.99948,1.548,15,10,999.8,722
Camp Murray,20180121,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,84.76562,11.67328,4.53873,14,10,999.8,35
Camp Murray,20180121,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,57.25098,13.59932,3.70737,15,10,999.8,722
Camp Murray,20180122,1215,47.11,-122.57,84,2.01801E+11,1,12,Winter,84.79004,11.60027,2.46287,9,10,1013.9,722
Camp Murray,20180122,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,81.32935,10.37415,1.68883,11,10,1014.3,722
Camp Murray,20180122,1315,47.11,-122.57,84,2.01801E+11,1,13,Winter,80.85938,10.9935,3.7295,11,10,1014.3,95
Camp Murray,20180122,1330,47.11,-122.57,84,2.01801E+11,1,13,Winter,77.47192,11.68083,1.72401,8,10,1014.3,42
Camp Murray,20180122,1345,47.11,-122.57,84,2.01801E+11,1,13,Winter,76.57471,11.67328,3.7295,11,10,1014.6,722
Camp Murray,20180122,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,78.07617,11.60027,1.68883,13,10,1014.6,722
Camp Murray,20180122,1545,47.11,-122.57,84,2.01801E+11,1,15,Winter,92.14478,10.32631,1.54809,6,10,1014.6,43
Camp Murray,20180125,1445,47.11,-122.57,84,2.01801E+11,1,14,Winter,48.24829,21.28082,7.98675,13,10,996.5,722
Camp Murray,20180125,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,36.2915,23.21693,5.84053,11,10,996.5,722
Camp Murray,20180126,1230,47.11,-122.57,84,2.01801E+11,1,12,Winter,92.56592,7.81616,1.51291,10,4,1009.6,12
Camp Murray,20180126,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,93.09692,8.98438,2.53324,11,5,1009.2,11
Camp Murray,20180126,1330,47.11,-122.57,84,2.01801E+11,1,13,Winter,91.24756,7.85141,1.548,11,5,1009.6,21
Camp Murray,20180126,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,88.40332,9.09515,0.4602,9,5,1009.2,11
Camp Murray,20180127,1245,47.11,-122.57,84,2.01801E+11,1,12,Winter,62.07275,15.56061,2.46287,22,10,1006.2,21
Camp Murray,20180127,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,54.83398,18.00781,5.9109,22,10,1006.9,21
Camp Murray,20180127,1315,47.11,-122.57,84,2.01801E+11,1,13,Winter,53.02124,16.85471,2.77953,23,10,1007.2,26
Camp Murray,20180127,1500,47.11,-122.57,84,2.01801E+11,1,15,Winter,66.59546,14.25644,4.64428,13,10,1010.6,37
Camp Murray,20180128,1400,47.11,-122.57,84,2.01801E+11,1,14,Winter,65.88745,18.79082,4.01097,10,10,1015.3,150
Camp Murray,20180130,1100,47.11,-122.57,84,2.01801E+11,1,11,Winter,71.0022,15.48004,3.51819,10,10,1009.9,722
Camp Murray,20180130,1145,47.11,-122.57,84,2.01801E+11,1,11,Winter,67.57202,12.36061,2.5331,10,10,1010.9,722
Camp Murray,20180130,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,31.37207,25.22858,8.90153,11,10,1010.3,60
Camp Murray,20180130,1445,47.11,-122.57,84,2.01801E+11,1,14,Winter,60.68115,16.7968,2.77953,8,10,1009.9,41
Camp Murray,20180131,1130,47.11,-122.57,84,2.01801E+11,1,11,Winter,82.39746,9.03976,1.61837,6,6,1012.9,37
Camp Murray,20180131,1200,47.11,-122.57,84,2.01801E+11,1,12,Winter,81.71387,9.77745,2.42755,7,6,1013.3,11
Camp Murray,20180131,1300,47.11,-122.57,84,2.01801E+11,1,13,Winter,67.67578,12.92458,2.63879,6,10,1012.9,35
Camp Murray,20180201,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,81.64673,10.94315,1.65364,6,10,1012.6,25
Camp Murray,20180201,1245,47.11,-122.57,84,2.01802E+11,2,12,Winter,79.55322,11.59019,1.72401,6,10,1011.9,24
Camp Murray,20180201,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,78.79639,11.57005,1.68883,5,10,1011.9,26
Camp Murray,20180201,1345,47.11,-122.57,84,2.01802E+11,2,13,Winter,78.01514,12.24983,0.44579,5,10,1011.3,23
Camp Murray,20180201,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,78.17993,12.34047,1.72401,3,10,1010.9,23
Camp Murray,20180202,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,95.45288,14.1507,4.60909,18,10,1010.3,26
Camp Murray,20180204,1430,47.11,-122.57,84,2.01802E+11,2,14,Winter,62.96997,20.64888,1.97041,16,10,1008.2,35
Camp Murray,20180204,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,52.39868,24.45816,12.14571,13,10,1007.9,12
Camp Murray,20180204,1515,47.11,-122.57,84,2.01802E+11,2,15,Winter,36.53564,29.68491,8.17266,15,10,1007.9,29
Camp Murray,20180204,1530,47.11,-122.57,84,2.01802E+11,2,15,Winter,33.75244,29.64462,4.18712,17,10,1007.9,55
Camp Murray,20180205,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,62.16431,16.10695,3.9406,14,10,1009.9,24
Camp Murray,20180206,1115,47.11,-122.57,84,2.01802E+11,2,11,Winter,71.16089,13.58421,1.68883,6,10,1017,28
Camp Murray,20180206,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,64.74609,14.93118,3.90542,7,10,1017.3,29
Camp Murray,20180206,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,65.03906,14.14818,1.86475,9,10,1017,32
Camp Murray,20180207,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,55.37109,18.12111,2.14622,9,10,1019,32
Camp Murray,20180207,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,50.8667,19.96658,5.06677,6,10,1018.6,32
Camp Murray,20180207,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,49.823,20.60608,3.09636,7,10,1018,42
Camp Murray,20180207,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,38.95874,24.58153,4.39824,8,10,1017,40
Camp Murray,20180208,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,62.62207,18.06824,6.15754,13,10,1011.9,12
Camp Murray,20180208,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,57.72095,18.76564,4.22207,11,10,1011.6,12
Camp Murray,20180209,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,59.83276,12.32788,3.87023,0,10,1015,18
Camp Murray,20180209,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,51.67236,14.84558,2.81471,0,10,1014.6,20
Camp Murray,20180209,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,21.44165,30.37979,14.9511,0,10,1014.3,23
Camp Murray,20180209,1415,47.11,-122.57,84,2.01802E+11,2,14,Winter,29.46167,23.81363,3.06117,3,10,1013.9,722
Camp Murray,20180209,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,32.42798,23.19679,9.14782,3,10,1013.6,722
Camp Murray,20180210,1100,47.11,-122.57,84,2.01802E+11,2,11,Winter,26.54419,24.48837,3.87023,0,10,1019.3,722
Camp Murray,20180210,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,14.19067,31.02936,10.30947,6,10,1019.7,722
Camp Murray,20180210,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,10.47363,33.57224,9.2539,8,10,1019,722
Camp Murray,20180210,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,12.06665,32.22527,8.33906,3,10,1018.3,722
Camp Murray,20180210,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,12.98828,31.60339,10.37985,0,10,1017.6,722
Camp Murray,20180211,1100,47.11,-122.57,84,2.01802E+11,2,11,Winter,25.22583,26.40938,8.16313,6,10,1002.9,722
Camp Murray,20180211,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,32.09839,21.38657,11.01687,8,10,1003.2,19
Camp Murray,20180211,1215,47.11,-122.57,84,2.01802E+11,2,12,Winter,16.13159,31.55304,10.30009,11,10,1003.5,722
Camp Murray,20180211,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,10.18066,37.35634,12.17072,7,10,1002.9,722
Camp Murray,20180211,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,18.55469,25.86304,6.14538,9,10,1003.2,35
Camp Murray,20180211,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,24.40796,19.33716,3.06117,9,10,1003.2,42
Camp Murray,20180212,1100,47.11,-122.57,84,2.01802E+11,2,11,Winter,16.1499,25.1606,6.89644,0,10,1015.3,722
Camp Murray,20180212,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,7.9895,32.21771,10.39907,10,10,1015.6,722
Camp Murray,20180212,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,5.43823,36.11259,11.42426,6,10,1015.3,722
Camp Murray,20180212,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,3.49121,39.40071,11.46088,6,10,1015.3,722
Camp Murray,20180212,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,3.44849,38.77632,10.17421,5,10,1015,722
Camp Murray,20180213,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,9.91821,34.12109,10.41701,0,10,1014.6,722
Camp Murray,20180213,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,7.54395,36.14784,16.84654,0,10,1013.3,722
Camp Murray,20180213,1400,47.11,-122.57,84,2.01802E+11,2,14,Winter,7.99561,32.28569,11.59946,0,10,1011.9,722
Camp Murray,20180213,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,3.68652,40.70488,11.37683,0,10,1010.9,722
Camp Murray,20180214,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,90.91187,8.46825,1.82956,3,10,1006.6,12
Camp Murray,20180214,1215,47.11,-122.57,84,2.01802E+11,2,12,Winter,87.78687,9.68933,2.70916,5,10,1006.6,9
Camp Murray,20180214,1315,47.11,-122.57,84,2.01802E+11,2,13,Winter,86.77979,9.69185,1.86475,5,10,1006.9,16
Camp Murray,20180214,1415,47.11,-122.57,84,2.01802E+11,2,14,Winter,84.60083,9.09767,1.86475,6,10,1007.6,38
Camp Murray,20180214,1445,47.11,-122.57,84,2.01802E+11,2,14,Winter,80.14526,9.70192,1.93512,9,10,1007.6,42
Camp Murray,20180214,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,80.68848,9.72961,1.89993,6,10,1007.6,18
Camp Murray,20180214,1515,47.11,-122.57,84,2.01802E+11,2,15,Winter,78.79639,10.39177,2.75469,6,10,1007.9,16
Camp Murray,20180214,1530,47.11,-122.57,84,2.01802E+11,2,15,Winter,75.28076,11.06903,2.3882,8,10,1007.9,70
Camp Murray,20180215,1115,47.11,-122.57,84,2.01802E+11,2,11,Winter,80.10254,8.42041,0.70795,3,10,1019.7,7
Camp Murray,20180215,1130,47.11,-122.57,84,2.01802E+11,2,11,Winter,79.73022,8.41286,1.82956,3,10,1019.7,9
Camp Murray,20180215,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,72.43652,10.93811,4.74983,3,10,1019.7,7
Camp Murray,20180215,1230,47.11,-122.57,84,2.01802E+11,2,12,Winter,57.48901,14.22623,4.08134,5,10,1019.7,9
Camp Murray,20180215,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,62.30469,12.88681,1.97041,7,10,1019.7,16
Camp Murray,20180215,1330,47.11,-122.57,84,2.01802E+11,2,13,Winter,46.76514,18.05817,7.002,7,10,1019.3,45
Camp Murray,20180215,1430,47.11,-122.57,84,2.01802E+11,2,14,Winter,90.36865,11.01868,5.87572,7,10,1019.3,22
Camp Murray,20180215,1445,47.11,-122.57,84,2.01802E+11,2,14,Winter,85.49194,14.23882,5.9109,0,10,1019,65
Camp Murray,20180215,1500,47.11,-122.57,84,2.01802E+11,2,15,Winter,83.83789,12.2448,2.07585,3,10,1018.6,120
Camp Murray,20180216,1200,47.11,-122.57,84,2.01802E+11,2,12,Winter,96.85059,7.71042,1.65364,13,9.1,1012.9,11
Camp Murray,20180216,1230,47.11,-122.57,84,2.01802E+11,2,12,Winter,96.11816,7.82372,2.60361,14,10,1012.6,15
Camp Murray,20180216,1245,47.11,-122.57,84,2.01802E+11,2,12,Winter,95.88623,8.46069,3.79986,14,10,1012.6,30
Camp Murray,20180216,1300,47.11,-122.57,84,2.01802E+11,2,13,Winter,94.43359,9.08257,5.84896,15,10,1011.9,722
Camp Murray,20180216,1315,47.11,-122.57,84,2.01802E+11,2,13,Winter,93.26172,9.7699,5.84053,14,10,1011.6,28
